sample_id,split,label_up,forward_return,contract,anchor_ts
0,train,0,-0.002536295259751631,SiH4,2024-01-08 08:45:00
1,train,0,-0.001574217810525358,SiH4,2024-01-08 09:00:00
3,train,1,0.00205707282913159,SiH4,2024-01-08 09:30:00
4,train,1,0.006291785663482541,SiH4,2024-01-08 09:45:00
5,train,1,0.004579004175615742,SiH4,2024-01-08 10:00:00
6,train,1,0.005012175546261544,SiH4,2024-01-08 10:15:00
7,train,1,0.005465852061968146,SiH4,2024-01-08 10:30:00
8,train,1,0.004960155236506836,SiH4,2024-01-08 10:45:00
9,train,1,0.006317650139664899,SiH4,2024-01-08 11:00:00
10,train,1,0.006409557653316966,SiH4,2024-01-08 11:15:00
11,train,1,0.007076577509786075,SiH4,2024-01-08 11:30:00
12,train,1,0.007004069342468444,SiH4,2024-01-08 11:45:00
13,train,1,0.009626652356284682,SiH4,2024-01-08 12:00:00
14,train,1,0.012955643390426097,SiH4,2024-01-08 12:15:00
15,train,1,0.010955028456755667,SiH4,2024-01-08 12:30:00
16,train,1,0.011613356457596868,SiH4,2024-01-08 12:45:00
17,train,1,0.009100889230431397,SiH4,2024-01-08 13:00:00
18,train,1,0.009882311649282105,SiH4,2024-01-08 13:15:00
19,train,1,0.009597350034550534,SiH4,2024-01-08 13:30:00
20,train,1,0.009129767645769338,SiH4,2024-01-08 13:45:00
21,train,1,0.007117048067447618,SiH4,2024-01-08 14:00:00
22,train,1,0.005989463789975336,SiH4,2024-01-08 14:15:00
23,train,1,0.004575234767416392,SiH4,2024-01-08 14:30:00
24,train,1,0.001272236962289508,SiH4,2024-01-08 14:45:00
25,train,0,-0.0011178277242981371,SiH4,2024-01-08 15:00:00
26,train,1,0.0005541309922203475,SiH4,2024-01-08 15:15:00
27,train,0,-0.000944000173609183,SiH4,2024-01-08 15:30:00
28,train,0,-0.0019742694118413118,SiH4,2024-01-08 15:45:00
29,train,0,-0.0016914786342394628,SiH4,2024-01-08 16:00:00
30,train,0,-0.0024261854732144927,SiH4,2024-01-08 16:15:00
31,train,0,-0.002912516240796914,SiH4,2024-01-08 16:30:00
32,train,0,-0.002253447883600712,SiH4,2024-01-08 16:45:00
33,train,0,-0.0016921942118279798,SiH4,2024-01-08 17:00:00
34,train,0,-0.0026013440277476985,SiH4,2024-01-08 17:15:00
35,train,0,-0.0017789348085475165,SiH4,2024-01-08 17:30:00
36,train,0,-0.0015733506944444198,SiH4,2024-01-08 17:45:00
37,train,1,0.0012184640825074755,SiH4,2024-01-08 18:00:00
38,train,0,-0.000673371418641544,SiH4,2024-01-08 18:15:00
41,train,0,-0.012802817054482607,SiH4,2024-01-09 08:45:00
42,train,0,-0.010797866550560586,SiH4,2024-01-09 09:00:00
43,train,0,-0.011132391668661756,SiH4,2024-01-09 09:15:00
44,train,0,-0.009779258823657488,SiH4,2024-01-09 09:30:00
45,train,0,-0.011048642300205525,SiH4,2024-01-09 09:45:00
46,train,0,-0.011237423232719146,SiH4,2024-01-09 10:00:00
47,train,0,-0.009365380836990012,SiH4,2024-01-09 10:15:00
48,train,0,-0.00941853620249855,SiH4,2024-01-09 10:30:00
49,train,0,-0.009055796801012539,SiH4,2024-01-09 10:45:00
50,train,0,-0.007227282170152782,SiH4,2024-01-09 11:00:00
51,train,0,-0.00851608107221724,SiH4,2024-01-09 11:15:00
52,train,0,-0.011489352398443287,SiH4,2024-01-09 11:30:00
53,train,0,-0.008060728523838101,SiH4,2024-01-09 11:45:00
54,train,0,-0.008579100176821175,SiH4,2024-01-09 12:00:00
55,train,0,-0.007482606222377841,SiH4,2024-01-09 12:15:00
56,train,0,-0.005488907148726407,SiH4,2024-01-09 12:30:00
57,train,0,-0.005756705190903322,SiH4,2024-01-09 12:45:00
58,train,0,-0.005512993347143169,SiH4,2024-01-09 13:00:00
59,train,0,-0.0031703196647578924,SiH4,2024-01-09 13:15:00
60,train,1,0.0007919223916055262,SiH4,2024-01-09 13:30:00
61,train,1,0.0017174374951833826,SiH4,2024-01-09 13:45:00
62,train,1,0.0006272145073615842,SiH4,2024-01-09 14:00:00
63,train,1,0.00250905129249146,SiH4,2024-01-09 14:15:00
64,train,1,0.001594650771481021,SiH4,2024-01-09 14:30:00
65,train,1,0.001858347719950304,SiH4,2024-01-09 14:45:00
66,train,1,0.0032928064842958626,SiH4,2024-01-09 15:00:00
67,train,1,0.003823438670721435,SiH4,2024-01-09 15:15:00
68,train,1,0.002101903818642059,SiH4,2024-01-09 15:30:00
69,train,1,0.0018387210428960632,SiH4,2024-01-09 15:45:00
70,train,1,0.0017070860591643644,SiH4,2024-01-09 16:00:00
71,train,1,0.0031093224543801146,SiH4,2024-01-09 16:15:00
72,train,1,0.00567320984241082,SiH4,2024-01-09 16:30:00
73,train,1,0.0009029146525429965,SiH4,2024-01-09 16:45:00
74,train,1,0.0011559802712699518,SiH4,2024-01-09 17:00:00
75,train,1,0.0022043911471651967,SiH4,2024-01-09 17:15:00
76,train,1,0.002159208583955685,SiH4,2024-01-09 17:30:00
77,train,1,0.003253449207592185,SiH4,2024-01-09 17:45:00
78,train,1,0.0038573443837066623,SiH4,2024-01-09 18:00:00
79,train,1,0.0029933200541438776,SiH4,2024-01-09 18:15:00
80,train,1,0.0014946697439279788,SiH4,2024-01-09 18:30:00
81,train,1,0.0007803141039026684,SiH4,2024-01-09 18:45:00
82,train,0,-0.0011867088607594445,SiH4,2024-01-10 08:45:00
83,train,1,0.0010572803665238606,SiH4,2024-01-10 09:00:00
84,train,1,0.0020597435784464047,SiH4,2024-01-10 09:15:00
85,train,1,0.0027019277427322574,SiH4,2024-01-10 09:30:00
86,train,1,0.003431496949167556,SiH4,2024-01-10 09:45:00
87,train,0,-0.003199278788012072,SiH4,2024-01-10 10:00:00
88,train,0,-0.001419547945506916,SiH4,2024-01-10 10:15:00
89,train,1,0.001002456569395349,SiH4,2024-01-10 10:30:00
90,train,1,0.0009358141583177826,SiH4,2024-01-10 10:45:00
91,train,1,0.002303182579564522,SiH4,2024-01-10 11:00:00
92,train,1,0.004999503360593405,SiH4,2024-01-10 11:15:00
93,train,1,0.0041780119718233255,SiH4,2024-01-10 11:30:00
94,train,1,0.004579310344827503,SiH4,2024-01-10 11:45:00
95,train,1,0.000736037263259659,SiH4,2024-01-10 12:00:00
96,train,1,0.0007139326706573357,SiH4,2024-01-10 12:15:00
97,train,1,0.0013188117506126584,SiH4,2024-01-10 12:30:00
99,train,1,0.002232805745900013,SiH4,2024-01-10 13:00:00
100,train,1,0.0009565590262887724,SiH4,2024-01-10 13:15:00
